"Player","Born","minAge","MP","Starts","Min","Full90s","G","A","NPG","PK","G90","NPG90","A90","NPG+A90","Over27"
"Ahmad Elrich",1981,24,6,2,157,1.7,0,0,0,0,0,0,0,0,""
"Ahmad Ngouyamsa",2000,18,4,2,212,2.3,0,0,0,0,0,0,0,0,""
"Ahmed Abou Moslem",1981,24,16,15,1144,12.7,0,1,0,0,0,0,0.07867132867132867,0.07867132867132867,""
"Ahmed Barusso",1984,22,6,1,89,1,0,0,0,0,0,0,0,0,""
"Ahmed Elmohamady",1987,22,197,156,14402,160,6,13,6,0,0.03749479238994584,0.03749479238994584,0.08123871684488265,0.11873350923482849,""
"Ahmed Fathy",1984,21,3,2,198,2.2,0,0,0,0,0,0,0,0,""
"Ahmed Hegazi",1991,21,42,40,3598,40,2,0,2,0,0.05002779321845469,0.05002779321845469,0,0.05002779321845469,""
"Ahmed Kantari",1985,25,104,101,9004,100,2,0,0,2,0.019991115059973343,0,0,0,""
"Ahmed Kashi",1988,25,19,15,1356,15.1,1,0,1,0,0.0663716814159292,0.0663716814159292,0,0.0663716814159292,""
"Ahmed Kutucu",2000,18,45,6,1212,13.4,5,2,5,0,0.37128712871287123,0.37128712871287123,0.1485148514851485,0.5198019801980197,""
"Ahmed Mohamed Saïd",1983,18,1,0,8,0.1,0,0,0,0,0,0,0,0,""
"Ahmed Musa",1992,23,21,7,761,8.5,2,1,2,0,0.23653088042049936,0.23653088042049936,0.11826544021024968,0.35479632063074906,""
"Ahmed Ouattara",1969,28,7,5,357,4,1,0,1,0,0.25210084033613445,0.25210084033613445,0,0.25210084033613445,"*"
"Ahmed Reda Madouni",1980,18,84,55,5252,58.4,6,1,6,0,0.10281797410510282,0.10281797410510282,0.017136329017517136,0.11995430312261995,""
"Ahmed Salah Hosny",1979,20,25,7,1009,11.3,2,1,2,0,0.17839444995044598,0.17839444995044598,0.08919722497522299,0.267591674925669,""
"Ahmed Soukouna",1990,18,8,2,266,3.1,0,0,0,0,0,0,0,0,""
"Ahmed Yahiaoui",1987,17,4,0,39,0.4,0,0,0,0,0,0,0,0,""
"Ahmet Arslan",1994,21,1,0,1,0,0,0,0,0,0,0,0,0,""
"Ahmet Gürleyen",1999,19,1,0,13,0.1,0,0,0,0,0,0,0,0,""
"Ahn Jung-hwan",1976,24,58,26,2776,30.8,9,2,9,0,0.29178674351585016,0.29178674351585016,0.06484149855907781,0.35662824207492794,""
"Aidan Davison",1968,27,10,9,826,9.2,0,0,0,0,0,0,0,0,"*"
"Aidan Newhouse",1972,20,1,0,68,0.8,1,0,1,0,1.3235294117647058,1.3235294117647058,0,1.3235294117647058,""
"Aiden McGeady",1986,27,32,14,1361,15.100000000000001,1,3,1,0,0.06612784717119764,0.06612784717119764,0.19838354151359294,0.26451138868479057,"*"
"Aiden O'Neill",1998,18,4,0,86,0.9,0,0,0,0,0,0,0,0,""
"Aihen Muñoz",1997,20,60,51,4464,49.6,0,1,0,0,0,0,0.020161290322580645,0.020161290322580645,""
"Ailton",1995,22,5,1,108,1.2,0,0,0,0,0,0,0,0,""
"Aílton Gonçalves",1973,26,207,182,15746,174.8,104,35,88,16,0.5944366823320208,0.5029848850501715,0.20005080655404547,0.703035691604217,""
"Aimar Oroz",2001,17,1,0,11,0.1,0,0,0,0,0,0,0,0,""
"Aimar Sher",2002,18,1,0,45,0.5,0,0,0,0,0,0,0,0,""
"Aimé Lavie",1984,18,4,2,200,2.2,0,0,0,0,0,0,0,0,""
"Aïmen Demai",1982,18,9,4,415,4.6,0,1,0,0,0,0,0.2168674698795181,0.2168674698795181,""
"Aimen Moueffek",2001,19,29,10,1140,12.700000000000001,0,0,0,0,0,0,0,0,""
"Aimo Diana",1978,21,280,245,21589,240,24,20,24,0,0.10005095187363935,0.10005095187363935,0.08337579322803279,0.18342674510167215,""
"Ainsley Maitland-Niles",1997,16,93,60,5663,63,1,3,1,0,0.015892636411795866,0.015892636411795866,0.0476779092353876,0.06357054564718347,""
"Aïssa Laïdouni",1996,18,1,1,90,1,0,0,0,0,0,0,0,0,""
"Aïssa Mandi",1991,20,288,282,25165,279.6,21,10,21,0,0.07510431154381085,0.07510431154381085,0.03576395787800517,0.11086826942181602,""
"Aitor Aldeondo",1975,23,33,2,813,9,2,0,2,0,0.22140221402214022,0.22140221402214022,0,0.22140221402214022,""
"Aitor Arregi",1971,27,32,30,2562,28.5,0,0,0,0,0,0,0,0,"*"
"Aitor Buñuel",1998,18,15,10,1030,11.4,0,0,0,0,0,0,0,0,""
"Aitor Cantalapiedra",1996,20,1,0,4,0,0,0,0,0,0,0,0,0,""
"Aitor Fernández",1991,27,94,94,8456,94,0,0,0,0,0,0,0,0,"*"
"Aitor Karanka",1973,24,139,126,11321,125.9,2,3,2,0,0.015899655507464007,0.015899655507464007,0.023849483261196007,0.039749138768660014,""
"Aitor Larrazábal",1971,27,142,121,10699,118.9,16,5,0,16,0.13459201794560238,0,0.042060005608000745,0.042060005608000745,"*"
"Aitor Núñez",1987,21,6,4,327,3.5999999999999996,0,0,0,0,0,0,0,0,""
"Aitor Ocio",1976,23,172,152,13272,147.4,5,2,5,0,0.033905967450271246,0.033905967450271246,0.013562386980108499,0.04746835443037974,""
"Aitor Ramos",1985,22,5,2,223,2.5,0,0,0,0,0,0,0,0,""
